"CED_NAME_2021","POA_CODE_2021","STATE_NAME_2021","Person","Dwelling","AREA_ALBERS_SQKM","poa_count","double_counted_POA","POA_Allocation","CED_CODE_2021"
"Blair","4300","Queensland",12173,4286,26.7934,16,2,0.177198422056276,"301"
"Blair","4301","Queensland",22552,7591,21.0142,16,2,0.618269547099463,"301"
"Blair","4303","Queensland",4187,1680,15.0708,16,1,1,"301"
"Blair","4304","Queensland",17837,7862,22.6958,16,1,1,"301"
"Blair","4305","Queensland",64213,26850,60.3332,16,2,0.997902032697209,"301"
"Blair","4306","Queensland",43005,15197,870.3147,16,3,0.977253101849748,"301"
"Blair","4307","Queensland",91,31,16.2726,16,2,0.0578512396694215,"301"
"Blair","4311","Queensland",8808,3675,687.0681,16,2,0.848146364949446,"301"
"Blair","4312","Queensland",2579,1475,868.739,16,1,1,"301"
"Blair","4313","Queensland",2305,1176,610.9469,16,1,1,"301"
"Blair","4314","Queensland",716,425,1308.9071,16,2,0.219027225451208,"301"
"Blair","4340","Queensland",5426,2280,419.5659,16,2,0.903881392637015,"301"
"Blair","4342","Queensland",6,0,2.7796,16,2,0.00222469410456062,"301"
"Blair","4346","Queensland",1013,413,25.4153,16,1,1,"301"
"Blair","4514","Queensland",536,246,127.3639,16,2,0.0623328293987673,"301"
"Blair","4515","Queensland",4454,1962,1384.4755,16,1,1,"301"
"Bonner","4025","Queensland",316,352,173.5972,16,1,1,"302"
"Bonner","4113","Queensland",3218,1472,1.6083,16,2,0.109036695693423,"302"
"Bonner","4121","Queensland",3976,1548,1.8318,16,3,0.152518316774713,"302"
"Bonner","4122","Queensland",45008,17639,19.7409,16,2,0.953014165625595,"302"
"Bonner","4123","Queensland",7671,2593,15.367,16,2,0.33493428808453,"302"
"Bonner","4152","Queensland",20073,7593,12.3175,16,2,0.421976497298661,"302"
"Bonner","4153","Queensland",4517,1603,9.7744,16,1,1,"302"
"Bonner","4154","Queensland",11464,3739,15.0372,16,1,1,"302"
"Bonner","4155","Queensland",1467,474,13.5401,16,1,1,"302"
"Bonner","4156","Queensland",3388,1080,31.9789,16,1,1,"302"
"Bonner","4170","Queensland",654,281,1.8025,16,2,0.0233229913341179,"302"
"Bonner","4172","Queensland",2874,1236,6.2603,16,2,0.580254391278013,"302"
"Bonner","4173","Queensland",8441,3457,8.8781,16,1,1,"302"
"Bonner","4174","Queensland",2849,1068,6.6961,16,1,1,"302"
"Bonner","4178","Queensland",26873,11172,46.046,16,2,1,"302"
"Bonner","4179","Queensland",20185,8057,9.2731,16,1,1,"302"
"Bowman","4157","Queensland",19762,7819,41.4597,11,1,1,"303"
"Bowman","4158","Queensland",3888,1722,2.6658,11,1,1,"303"
"Bowman","4159","Queensland",14800,5677,11.2731,11,1,1,"303"
"Bowman","4160","Queensland",19038,7269,14.7691,11,1,1,"303"
"Bowman","4161","Queensland",16457,6271,13.6902,11,1,1,"303"
"Bowman","4163","Queensland",15832,7247,11.7743,11,1,1,"303"
"Bowman","4164","Queensland",19260,6823,21.6475,11,1,1,"303"
"Bowman","4165","Queensland",39491,14954,102.7458,11,1,1,"303"
"Bowman","4178","Queensland",0,0,11.276,11,2,0,"303"
"Bowman","4183","Queensland",2168,1993,272.0174,11,1,1,"303"
"Bowman","4184","Queensland",8509,5454,33.8483,11,1,1,"303"
"Brisbane","4000","Queensland",20334,12141,3.6483,17,1,1,"304"
"Brisbane","4005","Queensland",17726,10080,2.7043,17,1,1,"304"
"Brisbane","4006","Queensland",24400,15754,5.4174,17,1,1,"304"
"Brisbane","4007","Queensland",15464,8304,5.3563,17,1,1,"304"
"Brisbane","4009","Queensland",0,0,2.0354,17,2,0,"304"
"Brisbane","4010","Queensland",3463,2077,1.3148,17,1,1,"304"
"Brisbane","4011","Queensland",15829,7279,5.2926,17,1,1,"304"
"Brisbane","4012","Queensland",0,0,0.2119,17,2,0,"304"
"Brisbane","4030","Queensland",18581,8794,5.838,17,1,1,"304"
"Brisbane","4031","Queensland",4377,1943,1.3337,17,2,0.305400502372314,"304"
"Brisbane","4051","Queensland",23633,9831,8.6094,17,2,0.79754994600432,"304"
"Brisbane","4053","Queensland",1717,963,1.9999,17,4,0.0360949357775022,"304"
"Brisbane","4059","Queensland",13707,6225,3.3042,17,1,1,"304"
"Brisbane","4060","Queensland",9867,3845,3.7198,17,2,0.734862590303121,"304"
"Brisbane","4064","Queensland",11492,5420,3.4078,17,2,0.945143515091702,"304"
"Brisbane","4065","Queensland",2564,952,0.8256,17,2,0.251446503873688,"304"
"Brisbane","4066","Queensland",63,25,0.0159,17,2,0.00339366515837104,"304"
"Capricornia","4700","Queensland",17224,8238,84.8731,27,2,0.994055520286258,"305"
"Capricornia","4701","Queensland",43783,18759,466.2008,27,1,1,"305"
"Capricornia","4702","Queensland",7554,2862,6542.3611,27,2,0.25277740596975,"305"
"Capricornia","4703","Queensland",25152,11638,1227.6685,27,1,1,"305"
"Capricornia","4704","Queensland",130,72,98.0086,27,1,1,"305"
"Capricornia","4705","Queensland",399,298,8543.109,27,1,1,"305"
"Capricornia","4706","Queensland",71,60,1440.7934,27,1,1,"305"
"Capricornia","4707","Queensland",250,211,2983.4314,27,1,1,"305"
"Capricornia","4710","Queensland",5091,2596,33.455,27,1,1,"305"
"Capricornia","4711","Queensland",1796,606,63.8306,27,1,1,"305"
"Capricornia","4721","Queensland",3898,2034,27669.8883,27,2,0.983102143757881,"305"
"Capricornia","4737","Queensland",8292,3685,940.5324,27,1,1,"305"
"Capricornia","4738","Queensland",1155,631,1033.9906,27,1,1,"305"
"Capricornia","4739","Queensland",350,221,475.4337,27,1,1,"305"
"Capricornia","4740","Queensland",10166,4289,405.1675,27,2,0.11893536121673,"305"
